Spread,Favorite,Underdog
0,0.5,0.5
0.5,0.5,0.5
1,0.512,0.488
1.5,0.525,0.475
2,0.534,0.466
2.5,0.543,0.458
3,0.574,0.426
3.5,0.606,0.394
4,0.619,0.381
4.5,0.631,0.369
5,0.641,0.359
5.5,0.651,0.349
6,0.664,0.336
6.5,0.677,0.323
7,0.703,0.297
7.5,0.73,0.27
8,0.738,0.262
8.5,0.746,0.254
9,0.751,0.25
9.5,0.755,0.245
10,0.774,0.226
10.5,0.793,0.208
11,0.799,0.201
11.5,0.806,0.194
12,0.816,0.184
12.5,0.826,0.174
13,0.83,0.17
13.5,0.835,0.165
14,0.851,0.149
14.5,0.868,0.132
15,0.874,0.126
15.5,0.881,0.12
16,0.886,0.115
16.5,0.891,0.11
17,0.914,0.086
17.5,0.937,0.063
18,0.95,0.051
18.5,0.962,0.038
19,0.973,0.027
19.5,0.984,0.016
20+,1,0
